roundId,playerAddressHash,timestamp,x,y,ts
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,355,753,1761537886939
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,240,695,1761537887005
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,205,669,1761537887055
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,172,636,1761537887105
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,129,607,1761537887155
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,88,576,1761537887205
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,61,555,1761537887255
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,46,547,1761537887305
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,37,544,1761537887355
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,33,541,1761537887406
1761537885780_z7h23u3sb,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:04:50.775Z,33,541,1761537887700
1761537882845_5mz14klzw,76ef0ecebc0b613abaf86562b711a178,2025-10-27T04:05:03.932Z,3,807,1761537901989
1761537882845_5mz14klzw,76ef0ecebc0b613abaf86562b711a178,2025-10-27T04:05:03.932Z,349,789,1761537902122
1761537912181_7vvkqy0jr,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:16.612Z,393,445,1761537914015
1761537912181_7vvkqy0jr,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:16.612Z,393,444,1761537915445
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,239,91,1761537919397
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,41,123,1761537919460
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,38,128,1761537919522
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,50,140,1761537919572
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,95,161,1761537919622
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,145,181,1761537919672
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,177,211,1761537919722
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,204,266,1761537919772
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,226,319,1761537919822
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,253,346,1761537919872
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,271,363,1761537919925
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,299,388,1761537919988
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,309,399,1761537920040
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,317,416,1761537920105
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,327,442,1761537920157
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,346,485,1761537920222
1761537918353_2e6e72e97,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:22.020Z,364,518,1761537920272
1761537923151_byn46g5wt,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:26.646Z,381,680,1761537926223
1761537923151_byn46g5wt,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:26.646Z,230,700,1761537926288
1761537923151_byn46g5wt,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:05:26.646Z,66,714,1761537926338
1761537923771_dnyjgpp4m,387307857eabf959fce6a366ceea1515,2025-10-27T04:05:29.478Z,501,704,1761537926539
1761537919512_qoy92c7w0,76ef0ecebc0b613abaf86562b711a178,2025-10-27T04:05:33.016Z,3,533,1761537924989
1761537919512_qoy92c7w0,76ef0ecebc0b613abaf86562b711a178,2025-10-27T04:05:33.016Z,358,359,1761537925539
1761538044139_3a66qz7eh,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:07:30.707Z,1,640,1761538050095
1761538044139_3a66qz7eh,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T04:07:30.707Z,380,503,1761538050394
1761538046471_ry3l2biwc,76ef0ecebc0b613abaf86562b711a178,2025-10-27T04:07:34.260Z,3,299,1761538050712
1761538048548_yipwfe181,387307857eabf959fce6a366ceea1515,2025-10-27T04:07:37.437Z,118,710,1761538049082
1761538048548_yipwfe181,387307857eabf959fce6a366ceea1515,2025-10-27T04:07:37.437Z,119,708,1761538049568
1761538048548_yipwfe181,387307857eabf959fce6a366ceea1515,2025-10-27T04:07:37.437Z,155,666,1761538049627
1761538048548_yipwfe181,387307857eabf959fce6a366ceea1515,2025-10-27T04:07:37.437Z,184,678,1761538049677
1761538048548_yipwfe181,387307857eabf959fce6a366ceea1515,2025-10-27T04:07:37.437Z,203,684,1761538049727
1761538048548_yipwfe181,387307857eabf959fce6a366ceea1515,2025-10-27T04:07:37.437Z,227,672,1761538049777
1761538048548_yipwfe181,387307857eabf959fce6a366ceea1515,2025-10-27T04:07:37.437Z,251,652,1761538049827
1761538048548_yipwfe181,387307857eabf959fce6a366ceea1515,2025-10-27T04:07:37.437Z,282,640,1761538049877
1761538048548_yipwfe181,387307857eabf959fce6a366ceea1515,2025-10-27T04:07:37.437Z,320,638,1761538049928
1761538048548_yipwfe181,387307857eabf959fce6a366ceea1515,2025-10-27T04:07:37.437Z,435,629,1761538049994
1761538067950_rkzwb92gr,76ef0ecebc0b613abaf86562b711a178,2025-10-27T04:07:55.961Z,357,679,1761538069711
