schema_version,round_id,player_address_hash,timestamp,round_type,grid_size,steps,correct_steps,time_elapsed_ms,time_limit_ms,is_perfect,time_expired,session_id,mean_reaction_time,std_reaction_time,min_reaction_time,max_reaction_time,entropy_reaction_time,mean_inter_click_interval,std_inter_click_interval,entropy_inter_click,mean_click_x_norm,std_click_x_norm,mean_click_y_norm,std_click_y_norm,click_position_entropy,misclick_count,double_click_count,first_click_reaction_time,click_hesitation_count,mouse_move_count,mouse_total_distance,mouse_avg_speed,mouse_max_speed,mouse_direction_changes,mouse_acceleration_changes,mouse_pause_count,mouse_idle_time_ratio,round_in_session,session_avg_time_per_round,consecutive_perfect_rounds,time_pressure_ratio,speed_to_accuracy_ratio,dominant_click_type,device_info_hash,label
1,"1761537429106_jcs9yszlb","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:57:20.665Z","INFINITE",4,5,5,11559,19000,1,0,"sess_5wydnjfo_1761537334877",1512.000,1021.474,508.000,2955.000,1.5000,1031.000,682.472,0.9183,0.1485,0.0598,0.7267,0.0386,2.3219,0,0,2955.000,4,0,0.00,0.0000,0.0000,0,0,0,0.0000,9,6480.000,2,0.6084,1512.0000,"mouse","c66ce809a25f3649","human"
1,"1761537434959_9sxzcbqtl","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:57:24.486Z","INFINITE",4,7,7,9527,18200,1,0,"sess_xcb415rr_1761537299232",562.667,672.518,217.000,2065.000,0.6500,621.800,722.327,0.7219,0.1676,0.0617,0.7721,0.1096,2.5216,0,0,267.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,13,6122.385,3,0.5235,562.6667,"mouse","4b3a3162c9abb194","human"
1,"1761537438686_ulr32ja4u","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:57:24.552Z","INFINITE",4,6,6,5865,18600,1,0,"sess_yheuq9yo_1761537321926",82.400,103.301,30.000,289.000,0.7219,95.250,111.862,0.8113,0.1383,0.0728,0.8124,0.0647,2.2516,0,4,31.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,14,5530.857,1,0.3153,82.4000,"mouse","8313f4547f73e3c2","human"
1,"1761537441486_w9ds77tvu","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:57:29.485Z","INFINITE",4,7,2,7999,18400,0,0,"sess_i3kh3e3p_1761537327465",266.500,14.500,252.000,281.000,1.0000,252.000,0.000,0.0000,0.1098,0.0747,0.8768,0.0766,1.5850,1,0,281.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,11,6274.727,0,0.4347,133.2500,"mouse","e6b71e3412bfade7","human"
1,"1761537443075_9a4w9v1pb","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:57:30.968Z","INFINITE",4,6,3,7893,18800,0,0,"sess_5wydnjfo_1761537334877",512.667,49.641,447.000,567.000,1.5850,485.500,38.500,1.0000,0.1203,0.0425,0.6991,0.0341,2.0000,1,0,567.000,2,0,0.00,0.0000,0.0000,0,0,0,0.0000,10,6621.300,0,0.4198,256.3333,"mouse","c66ce809a25f3649","human"
1,"1761537446717_2l5lhtsb8","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:57:34.530Z","INFINITE",4,7,7,7813,18400,1,0,"sess_yheuq9yo_1761537321926",277.500,381.672,30.000,1104.000,1.4591,277.000,418.099,1.3710,0.1332,0.0386,0.7608,0.1204,2.1281,0,3,280.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,15,5683.000,2,0.4246,277.5000,"mouse","8313f4547f73e3c2","human"
1,"1761537447405_17xk7p0fc","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:57:34.805Z","INFINITE",5,8,2,7400,18000,0,0,"sess_xcb415rr_1761537299232",328.500,123.500,205.000,452.000,1.0000,452.000,0.000,0.0000,0.0927,0.0377,0.6115,0.0774,1.5850,1,0,205.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,14,6213.643,0,0.4111,164.2500,"mouse","4b3a3162c9abb194","human"
1,"1761537452301_yf3a41bip","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:57:38.496Z","INFINITE",4,7,1,6195,18400,0,0,"sess_i3kh3e3p_1761537327465",30.000,0.000,30.000,30.000,0.0000,0.000,0.000,0.0000,0.1891,0.0264,0.9039,0.0812,1.0000,1,1,30.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,12,6268.083,0,0.3367,15.0000,"mouse","e6b71e3412bfade7","human"
1,"1761537453870_scgailh85","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:57:41.281Z","INFINITE",4,6,3,7411,18800,0,0,"sess_5wydnjfo_1761537334877",473.000,30.342,438.000,512.000,1.5850,490.500,21.500,1.0000,0.1331,0.0444,0.7582,0.0557,1.5000,1,0,438.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,11,6693.091,0,0.3942,236.5000,"mouse","c66ce809a25f3649","human"
1,"1761537456054_tf1g1ztfx","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:57:42.160Z","INFINITE",4,7,2,6106,18200,0,0,"sess_yheuq9yo_1761537321926",31.000,1.000,30.000,32.000,1.0000,30.000,0.000,0.0000,0.0853,0.0250,0.7339,0.1332,1.5850,1,2,32.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,16,5709.438,0,0.3355,15.5000,"mouse","8313f4547f73e3c2","human"
